Model,Test RMSE,Test MAE,Test R² Score,Test MAPE
Linear Regression,28536.248600137522,22774.457955336307,0.916492340592825,5.642382736439119
Random Forest,37883.318450182946,30793.09174657534,0.8528268514446551,7.501936054316483
